location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
6152593,"Recreio dos Bandeirantes","no2",13.75,"µg/m³","2026-01-12T02:00:00Z","2026-01-11T23:00:00-03:00","America/Sao_Paulo",-22.0197,-43.4823,,,,"Unknown Governmental Organization","Rio City Hall"
6152593,"Recreio dos Bandeirantes","no2",14.29,"µg/m³","2026-01-12T03:00:00Z","2026-01-12T00:00:00-03:00","America/Sao_Paulo",-22.0197,-43.4823,,,,"Unknown Governmental Organization","Rio City Hall"
6152593,"Recreio dos Bandeirantes","no2",13.72,"µg/m³","2026-01-12T04:00:00Z","2026-01-12T01:00:00-03:00","America/Sao_Paulo",-22.0197,-43.4823,,,,"Unknown Governmental Organization","Rio City Hall"
6152593,"Recreio dos Bandeirantes","no2",13.79,"µg/m³","2026-01-12T05:00:00Z","2026-01-12T02:00:00-03:00","America/Sao_Paulo",-22.0197,-43.4823,,,,"Unknown Governmental Organization","Rio City Hall"
6152593,"Recreio dos Bandeirantes","no2",12.91,"µg/m³","2026-01-12T06:00:00Z","2026-01-12T03:00:00-03:00","America/Sao_Paulo",-22.0197,-43.4823,,,,"Unknown Governmental Organization","Rio City Hall"
6152593,"Recreio dos Bandeirantes","no2",13.09,"µg/m³","2026-01-12T07:00:00Z","2026-01-12T04:00:00-03:00","America/Sao_Paulo",-22.0197,-43.4823,,,,"Unknown Governmental Organization","Rio City Hall"
6152593,"Recreio dos Bandeirantes","no2",13.19,"µg/m³","2026-01-12T08:00:00Z","2026-01-12T05:00:00-03:00","America/Sao_Paulo",-22.0197,-43.4823,,,,"Unknown Governmental Organization","Rio City Hall"
6152593,"Recreio dos Bandeirantes","no2",13.39,"µg/m³","2026-01-12T09:00:00Z","2026-01-12T06:00:00-03:00","America/Sao_Paulo",-22.0197,-43.4823,,,,"Unknown Governmental Organization","Rio City Hall"
6152593,"Recreio dos Bandeirantes","no2",12.72,"µg/m³","2026-01-12T10:00:00Z","2026-01-12T07:00:00-03:00","America/Sao_Paulo",-22.0197,-43.4823,,,,"Unknown Governmental Organization","Rio City Hall"
6152593,"Recreio dos Bandeirantes","no2",8.62,"µg/m³","2026-01-12T11:00:00Z","2026-01-12T08:00:00-03:00","America/Sao_Paulo",-22.0197,-43.4823,,,,"Unknown Governmental Organization","Rio City Hall"
6152593,"Recreio dos Bandeirantes","no2",11.23,"µg/m³","2026-01-12T12:00:00Z","2026-01-12T09:00:00-03:00","America/Sao_Paulo",-22.0197,-43.4823,,,,"Unknown Governmental Organization","Rio City Hall"
6152593,"Recreio dos Bandeirantes","no2",13.22,"µg/m³","2026-01-12T13:00:00Z","2026-01-12T10:00:00-03:00","America/Sao_Paulo",-22.0197,-43.4823,,,,"Unknown Governmental Organization","Rio City Hall"
6152593,"Recreio dos Bandeirantes","no2",13.36,"µg/m³","2026-01-12T18:00:00Z","2026-01-12T15:00:00-03:00","America/Sao_Paulo",-22.0197,-43.4823,,,,"Unknown Governmental Organization","Rio City Hall"
6152593,"Recreio dos Bandeirantes","no2",12.52,"µg/m³","2026-01-12T19:00:00Z","2026-01-12T16:00:00-03:00","America/Sao_Paulo",-22.0197,-43.4823,,,,"Unknown Governmental Organization","Rio City Hall"
6152593,"Recreio dos Bandeirantes","no2",12.61,"µg/m³","2026-01-12T20:00:00Z","2026-01-12T17:00:00-03:00","America/Sao_Paulo",-22.0197,-43.4823,,,,"Unknown Governmental Organization","Rio City Hall"
6152593,"Recreio dos Bandeirantes","no2",12.87,"µg/m³","2026-01-12T21:00:00Z","2026-01-12T18:00:00-03:00","America/Sao_Paulo",-22.0197,-43.4823,,,,"Unknown Governmental Organization","Rio City Hall"
6152593,"Recreio dos Bandeirantes","no2",12.67,"µg/m³","2026-01-12T22:00:00Z","2026-01-12T19:00:00-03:00","America/Sao_Paulo",-22.0197,-43.4823,,,,"Unknown Governmental Organization","Rio City Hall"
6152593,"Recreio dos Bandeirantes","no2",12.92,"µg/m³","2026-01-12T23:00:00Z","2026-01-12T20:00:00-03:00","America/Sao_Paulo",-22.0197,-43.4823,,,,"Unknown Governmental Organization","Rio City Hall"
6152593,"Recreio dos Bandeirantes","no2",13.04,"µg/m³","2026-01-13T00:00:00Z","2026-01-12T21:00:00-03:00","America/Sao_Paulo",-22.0197,-43.4823,,,,"Unknown Governmental Organization","Rio City Hall"
6152593,"Recreio dos Bandeirantes","o3",0.6,"µg/m³","2026-01-12T02:00:00Z","2026-01-11T23:00:00-03:00","America/Sao_Paulo",-22.0197,-43.4823,,,,"Unknown Governmental Organization","Rio City Hall"
6152593,"Recreio dos Bandeirantes","o3",1.3,"µg/m³","2026-01-12T03:00:00Z","2026-01-12T00:00:00-03:00","America/Sao_Paulo",-22.0197,-43.4823,,,,"Unknown Governmental Organization","Rio City Hall"
6152593,"Recreio dos Bandeirantes","o3",0.87,"µg/m³","2026-01-12T04:00:00Z","2026-01-12T01:00:00-03:00","America/Sao_Paulo",-22.0197,-43.4823,,,,"Unknown Governmental Organization","Rio City Hall"
6152593,"Recreio dos Bandeirantes","o3",0.19,"µg/m³","2026-01-12T05:00:00Z","2026-01-12T02:00:00-03:00","America/Sao_Paulo",-22.0197,-43.4823,,,,"Unknown Governmental Organization","Rio City Hall"
6152593,"Recreio dos Bandeirantes","o3",0,"µg/m³","2026-01-12T06:00:00Z","2026-01-12T03:00:00-03:00","America/Sao_Paulo",-22.0197,-43.4823,,,,"Unknown Governmental Organization","Rio City Hall"
6152593,"Recreio dos Bandeirantes","o3",0.06,"µg/m³","2026-01-12T07:00:00Z","2026-01-12T04:00:00-03:00","America/Sao_Paulo",-22.0197,-43.4823,,,,"Unknown Governmental Organization","Rio City Hall"
6152593,"Recreio dos Bandeirantes","o3",0.61,"µg/m³","2026-01-12T08:00:00Z","2026-01-12T05:00:00-03:00","America/Sao_Paulo",-22.0197,-43.4823,,,,"Unknown Governmental Organization","Rio City Hall"
