location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
947180,"Roybal LC (8544)","pm25",4.05,"µg/m³","2026-01-12T00:00:35Z","2026-01-11T16:00:35-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
947180,"Roybal LC (8544)","pm25",3.92,"µg/m³","2026-01-12T00:06:09Z","2026-01-11T16:06:09-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
947180,"Roybal LC (8544)","pm25",5.18,"µg/m³","2026-01-12T00:11:42Z","2026-01-11T16:11:42-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
947180,"Roybal LC (8544)","pm25",5.97,"µg/m³","2026-01-12T00:17:15Z","2026-01-11T16:17:15-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
947180,"Roybal LC (8544)","pm25",5.92,"µg/m³","2026-01-12T00:22:49Z","2026-01-11T16:22:49-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
947180,"Roybal LC (8544)","pm25",6.26,"µg/m³","2026-01-12T00:28:22Z","2026-01-11T16:28:22-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
947180,"Roybal LC (8544)","pm25",6.46,"µg/m³","2026-01-12T00:33:56Z","2026-01-11T16:33:56-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
947180,"Roybal LC (8544)","pm25",6.21,"µg/m³","2026-01-12T00:39:29Z","2026-01-11T16:39:29-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
947180,"Roybal LC (8544)","pm25",6.74,"µg/m³","2026-01-12T00:45:10Z","2026-01-11T16:45:10-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
947180,"Roybal LC (8544)","pm25",8.1,"µg/m³","2026-01-12T00:50:43Z","2026-01-11T16:50:43-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
947180,"Roybal LC (8544)","pm25",8.9,"µg/m³","2026-01-12T00:56:17Z","2026-01-11T16:56:17-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
947180,"Roybal LC (8544)","pm25",8.76,"µg/m³","2026-01-12T01:01:51Z","2026-01-11T17:01:51-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
947180,"Roybal LC (8544)","pm25",7.4,"µg/m³","2026-01-12T01:07:25Z","2026-01-11T17:07:25-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
947180,"Roybal LC (8544)","pm25",7.45,"µg/m³","2026-01-12T01:12:59Z","2026-01-11T17:12:59-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
947180,"Roybal LC (8544)","pm25",7.74,"µg/m³","2026-01-12T01:18:33Z","2026-01-11T17:18:33-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
947180,"Roybal LC (8544)","pm25",8.18,"µg/m³","2026-01-12T01:24:06Z","2026-01-11T17:24:06-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
947180,"Roybal LC (8544)","pm25",6.09,"µg/m³","2026-01-12T01:29:40Z","2026-01-11T17:29:40-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
947180,"Roybal LC (8544)","pm25",5.91,"µg/m³","2026-01-12T01:35:14Z","2026-01-11T17:35:14-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
947180,"Roybal LC (8544)","pm25",5.33,"µg/m³","2026-01-12T01:40:48Z","2026-01-11T17:40:48-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
947180,"Roybal LC (8544)","pm25",5.7,"µg/m³","2026-01-12T01:46:22Z","2026-01-11T17:46:22-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
947180,"Roybal LC (8544)","pm25",5.02,"µg/m³","2026-01-12T01:51:56Z","2026-01-11T17:51:56-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
947180,"Roybal LC (8544)","pm25",4.82,"µg/m³","2026-01-12T01:57:30Z","2026-01-11T17:57:30-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
947180,"Roybal LC (8544)","pm25",5.2,"µg/m³","2026-01-12T02:03:04Z","2026-01-11T18:03:04-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
947180,"Roybal LC (8544)","pm25",5.2,"µg/m³","2026-01-12T02:08:38Z","2026-01-11T18:08:38-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
947180,"Roybal LC (8544)","pm25",5.59,"µg/m³","2026-01-12T02:14:12Z","2026-01-11T18:14:12-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
947180,"Roybal LC (8544)","pm25",5.37,"µg/m³","2026-01-12T02:19:46Z","2026-01-11T18:19:46-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
947180,"Roybal LC (8544)","pm25",5.61,"µg/m³","2026-01-12T02:25:20Z","2026-01-11T18:25:20-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
947180,"Roybal LC (8544)","pm25",5.64,"µg/m³","2026-01-12T02:30:53Z","2026-01-11T18:30:53-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
947180,"Roybal LC (8544)","pm25",5.8,"µg/m³","2026-01-12T02:36:27Z","2026-01-11T18:36:27-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
947180,"Roybal LC (8544)","pm25",6.56,"µg/m³","2026-01-12T02:42:02Z","2026-01-11T18:42:02-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
947180,"Roybal LC (8544)","pm25",6.25,"µg/m³","2026-01-12T02:47:36Z","2026-01-11T18:47:36-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
947180,"Roybal LC (8544)","pm25",6.44,"µg/m³","2026-01-12T02:53:10Z","2026-01-11T18:53:10-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
947180,"Roybal LC (8544)","pm25",8.43,"µg/m³","2026-01-12T02:58:44Z","2026-01-11T18:58:44-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
947180,"Roybal LC (8544)","pm25",9.31,"µg/m³","2026-01-12T03:04:18Z","2026-01-11T19:04:18-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
947180,"Roybal LC (8544)","pm25",10.11,"µg/m³","2026-01-12T03:09:52Z","2026-01-11T19:09:52-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
947180,"Roybal LC (8544)","pm25",10.61,"µg/m³","2026-01-12T03:15:26Z","2026-01-11T19:15:26-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
947180,"Roybal LC (8544)","pm25",9.04,"µg/m³","2026-01-12T03:21:00Z","2026-01-11T19:21:00-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
947180,"Roybal LC (8544)","pm25",9.75,"µg/m³","2026-01-12T03:26:34Z","2026-01-11T19:26:34-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
947180,"Roybal LC (8544)","pm25",10.99,"µg/m³","2026-01-12T03:32:09Z","2026-01-11T19:32:09-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
947180,"Roybal LC (8544)","pm25",10.58,"µg/m³","2026-01-12T03:37:43Z","2026-01-11T19:37:43-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
947180,"Roybal LC (8544)","pm25",11.28,"µg/m³","2026-01-12T03:43:17Z","2026-01-11T19:43:17-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
947180,"Roybal LC (8544)","pm25",11.5,"µg/m³","2026-01-12T03:48:52Z","2026-01-11T19:48:52-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
947180,"Roybal LC (8544)","pm25",12.63,"µg/m³","2026-01-12T03:54:26Z","2026-01-11T19:54:26-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
947180,"Roybal LC (8544)","pm25",12.53,"µg/m³","2026-01-12T04:00:00Z","2026-01-11T20:00:00-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
947180,"Roybal LC (8544)","pm25",12.52,"µg/m³","2026-01-12T04:05:35Z","2026-01-11T20:05:35-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
947180,"Roybal LC (8544)","pm25",13.03,"µg/m³","2026-01-12T04:11:09Z","2026-01-11T20:11:09-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
947180,"Roybal LC (8544)","pm25",13.82,"µg/m³","2026-01-12T04:16:43Z","2026-01-11T20:16:43-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
947180,"Roybal LC (8544)","pm25",12.67,"µg/m³","2026-01-12T04:22:18Z","2026-01-11T20:22:18-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
947180,"Roybal LC (8544)","pm25",12.85,"µg/m³","2026-01-12T04:27:52Z","2026-01-11T20:27:52-08:00","America/Los_Angeles",34.06178,-118.25487,,,,"Unknown Community Organization","Clarity"
